               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.037027,            0.014542,           0.0044156,             0.66314,              0.6109,             0.64303,             0.34156,            0.042456,            0.010527,           0.0085923,            0.003796,            0.003796,            0.003796
                  96,            0.037077,            0.014605,           0.0044456,             0.66454,             0.60918,             0.64234,             0.34118,            0.042468,            0.010533,           0.0086268,             0.00373,             0.00373,             0.00373
                  97,            0.036835,            0.014539,           0.0042884,             0.66547,              0.6084,             0.64202,             0.34108,            0.042484,            0.010539,           0.0086593,            0.003664,            0.003664,            0.003664
                  98,             0.03674,             0.01455,           0.0043206,             0.66451,             0.60848,             0.64141,             0.34143,            0.042494,            0.010547,           0.0087005,            0.003598,            0.003598,            0.003598
                  99,            0.036496,            0.014367,           0.0041767,             0.66576,             0.60759,             0.64165,             0.34141,            0.042506,            0.010554,            0.008736,            0.003532,            0.003532,            0.003532
                 100,            0.036438,             0.01432,            0.004184,             0.66334,             0.60875,             0.64203,             0.34158,            0.042526,            0.010561,           0.0087697,            0.003466,            0.003466,            0.003466
                 101,            0.036244,            0.014184,            0.004151,              0.6627,             0.60995,             0.64192,             0.34138,            0.042549,            0.010568,            0.008808,              0.0034,              0.0034,              0.0034
                 102,            0.035806,            0.014197,           0.0040162,             0.66121,             0.61162,             0.64221,             0.34134,            0.042575,            0.010577,           0.0088479,            0.003334,            0.003334,            0.003334
                 103,            0.035695,            0.014121,           0.0039275,             0.66317,              0.6096,             0.64237,             0.34152,            0.042598,            0.010584,           0.0088887,            0.003268,            0.003268,            0.003268
                 104,            0.035569,            0.014044,           0.0039705,             0.66285,             0.60826,             0.64148,             0.34142,            0.042633,            0.010593,           0.0089292,            0.003202,            0.003202,            0.003202
                 105,            0.035412,            0.013978,            0.003954,             0.66117,             0.60997,             0.64195,             0.34145,             0.04266,            0.010602,           0.0089808,            0.003136,            0.003136,            0.003136
                 106,            0.035144,            0.013862,           0.0037646,             0.66084,              0.6096,             0.64175,             0.34166,            0.042684,            0.010612,           0.0090208,             0.00307,             0.00307,             0.00307
                 107,            0.035119,            0.013976,           0.0037851,             0.66347,             0.60812,             0.64226,             0.34201,            0.042707,            0.010624,           0.0090494,            0.003004,            0.003004,            0.003004
                 108,            0.034865,             0.01382,           0.0037846,             0.66104,             0.60972,             0.64124,             0.34167,            0.042735,            0.010638,           0.0090909,            0.002938,            0.002938,            0.002938
                 109,            0.034699,            0.013639,           0.0036928,             0.66089,             0.61047,             0.64083,             0.34129,            0.042763,             0.01065,           0.0091413,            0.002872,            0.002872,            0.002872
                 110,            0.034535,            0.013622,            0.003742,             0.66081,             0.60892,             0.64024,             0.34113,            0.042795,            0.010663,           0.0091836,            0.002806,            0.002806,            0.002806
                 111,            0.034281,             0.01355,            0.003592,             0.66057,             0.60983,             0.64014,             0.34113,            0.042831,            0.010675,           0.0092305,             0.00274,             0.00274,             0.00274
                 112,            0.033991,            0.013538,            0.003488,             0.66454,             0.60858,             0.64117,             0.34135,             0.04287,            0.010686,           0.0092788,            0.002674,            0.002674,            0.002674
                 113,            0.033913,            0.013429,           0.0035979,             0.66811,             0.60635,             0.64173,              0.3414,            0.042902,              0.0107,           0.0093251,            0.002608,            0.002608,            0.002608
                 114,            0.033663,            0.013335,           0.0034882,             0.66489,             0.60825,             0.64115,             0.34128,            0.042929,            0.010714,             0.00937,            0.002542,            0.002542,            0.002542
                 115,            0.033519,            0.013235,           0.0034769,             0.67026,             0.60327,             0.64036,             0.34102,            0.042962,            0.010731,           0.0094045,            0.002476,            0.002476,            0.002476
                 116,            0.033391,            0.013268,           0.0034245,             0.66753,             0.60621,             0.64041,             0.34118,            0.042991,            0.010746,           0.0094305,             0.00241,             0.00241,             0.00241
                 117,            0.032798,            0.013009,            0.003325,             0.66886,             0.60355,             0.64092,             0.34111,            0.043018,            0.010764,            0.009462,            0.002344,            0.002344,            0.002344
                 118,            0.032893,            0.013078,           0.0032947,             0.67182,             0.59984,             0.64051,             0.34072,            0.043052,            0.010783,           0.0094951,            0.002278,            0.002278,            0.002278
